SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-24-2019,Condo/Co-op,1276 18th Ave #2,San Francisco,CA,94122,1315000,3,2,Inner Sunset,1181,,2002,404,1113,200,Sold,,,http://www.redfin.com/CA/San-Francisco/1276-18th-Ave-94122/unit-2/home/1809819,San Francisco MLS,488440,N,Y,37.764044,-122.4757556
PAST SALE,June-30-2020,Single Family Residential,4205 22nd St,San Francisco,CA,94114,2125000,3,1.5,Noe Valley,1197,1899,1911,124,1775,,Sold,,,http://www.redfin.com/CA/San-Francisco/4205-22nd-St-94114/home/1532506,San Francisco MLS,498052,N,Y,37.7540769,-122.439022
PAST SALE,December-20-2019,Single Family Residential,2627 Pacheco St,San Francisco,CA,94116,1168000,3,1,Parkside,950,2500,1943,317,1229,,Sold,,,http://www.redfin.com/CA/San-Francisco/2627-Pacheco-St-94116/home/1386228,San Francisco MLS,492077,N,Y,37.749856,-122.4885474
PAST SALE,,Single Family Residential,51 Bridgeview Dr,San Francisco,CA,94124,1150000,,1,,,2761,1944,,,,,,,http://www.redfin.com/CA/San-Francisco/51-Bridgeview-Dr-94124/home/750546,,,N,Y,37.7345576,-122.3945378
PAST SALE,November-5-2019,Condo/Co-op,401 26th Ave #6,San Francisco,CA,94121,945000,3,2,Central Richmond,1223,,1978,362,773,273,Sold,,,http://www.redfin.com/CA/San-Francisco/401-26th-Ave-94121/unit-6/home/1872472,San Francisco MLS,489210,N,Y,37.7817108,-122.4861369
PAST SALE,,Single Family Residential,1340 Plymouth Ave,San Francisco,CA,94112,1389000,3,1,,,3972,1917,,,,,,,http://www.redfin.com/CA/San-Francisco/1340-Plymouth-Ave-94112/home/1726206,,,N,Y,37.7264718,-122.4562114
PAST SALE,June-7-2019,Single Family Residential,1890 43rd Ave,San Francisco,CA,94116,1250000,3,1,Outer Sunset,1214,1438,1945,513,1030,,Sold,,,http://www.redfin.com/CA/San-Francisco/1890-43rd-Ave-94122/home/1840097,San Francisco MLS,484348,N,Y,37.7514657,-122.5019104
PAST SALE,June-19-2020,Condo/Co-op,2647 Folsom St,San Francisco,CA,94110,1035000,3,1,Inner Mission,1082,,1900,135,957,378,Sold,,,http://www.redfin.com/CA/San-Francisco/2647-Folsom-St-94110/home/109687157,San Francisco MLS,496956,N,Y,37.7549388,-122.4141616
PAST SALE,December-6-2018,Single Family Residential,3792 Cesar Chavez,San Francisco,CA,94110,1625000,3,1,Noe Valley,1227,1900,1900,696,1324,,Sold,,,http://www.redfin.com/CA/San-Francisco/3792-Cesar-Chavez-94110/home/1802295,San Francisco MLS,478028,N,Y,37.7480476,-122.42445
PAST SALE,January-4-2019,Single Family Residential,246 Sussex,San Francisco,CA,94131,1475000,3,2,Glen Park,1223,,1949,667,1206,,Sold,,,http://www.redfin.com/CA/San-Francisco/246-Sussex-St-94131/home/1967128,San Francisco MLS,478942,N,Y,37.7366543,-122.4372796
